#Firmware: Tuareg V0.2 2020.10
event,fraction,Timestamp,time
Id,us,ms,ms
2.0,712.0,174748.0,174748.72
1.0,891.0,174754.0,174754.89
0.0,878.0,174755.0,174755.88
7.0,2.0,174765.0,174765.0
6.0,989.0,174766.0,174766.98
5.0,113.0,174777.0,174777.11
4.0,104.0,174778.0,174778.11
3.0,226.0,174788.0,174788.22
2.0,167.0,174793.0,174793.17
1.0,346.0,174799.0,174799.34
0.0,334.0,174800.0,174800.33
7.0,457.0,174810.0,174810.45
6.0,444.0,174811.0,174811.44
MARK 019
2.0,144.0,177816.0,177816.14
1.0,323.0,177822.0,177822.33
0.0,311.0,177823.0,177823.31
7.0,434.0,177833.0,177833.44
6.0,421.0,177834.0,177834.42
5.0,546.0,177844.0,177844.55
4.0,539.0,177845.0,177845.53
3.0,660.0,177855.0,177855.66
2.0,600.0,177860.0,177860.6
1.0,779.0,177866.0,177866.78
0.0,767.0,177867.0,177867.77
7.0,891.0,177877.0,177877.89
6.0,877.0,177878.0,177878.88
5.0,1.0,177888.0,177888.0
4.0,993.0,177889.0,177890.0
3.0,115.0,177900.0,177900.11
2.0,55.0,177905.0,177905.06
1.0,234.0,177911.0,177911.23
0.0,222.0,177912.0,177912.22
7.0,346.0,177922.0,177922.34
6.0,332.0,177923.0,177923.33
5.0,457.0,177933.0,177933.45
4.0,450.0,177934.0,177934.45
3.0,571.0,177944.0,177944.58
2.0,511.0,177949.0,177949.52
1.0,690.0,177955.0,177955.69
0.0,678.0,177956.0,177956.67
7.0,802.0,177966.0,177966.8
6.0,788.0,177967.0,177967.78
5.0,913.0,177977.0,177977.9
MARK 020
7.0,782.0,180989.0,180989.78
6.0,769.0,180990.0,180990.77
5.0,893.0,181000.0,181000.89
4.0,884.0,181001.0,181001.89
3.0,6.0,181011.0,181011.0
2.0,946.0,181016.0,181016.95
1.0,125.0,181023.0,181023.12
0.0,113.0,181024.0,181024.11
7.0,237.0,181034.0,181034.23
6.0,223.0,181035.0,181035.22
5.0,349.0,181045.0,181045.34
4.0,341.0,181046.0,181046.34
3.0,462.0,181056.0,181056.47
2.0,402.0,181061.0,181061.4
1.0,581.0,181067.0,181067.58
0.0,569.0,181068.0,181068.56
7.0,693.0,181078.0,181078.69
6.0,680.0,181079.0,181079.69
5.0,804.0,181089.0,181089.8
4.0,795.0,181090.0,181090.8
3.0,917.0,181100.0,181100.92
2.0,857.0,181105.0,181105.86
1.0,36.0,181112.0,181112.03
0.0,24.0,181113.0,181113.03
7.0,148.0,181123.0,181123.14
6.0,135.0,181124.0,181124.14
5.0,260.0,181134.0,181134.27
4.0,252.0,181135.0,181135.25
3.0,373.0,181145.0,181145.38
2.0,314.0,181150.0,181150.31
MARK 021
5.0,239.0,184157.0,184157.23
4.0,231.0,184158.0,184158.23
3.0,352.0,184168.0,184168.36
2.0,292.0,184173.0,184173.3
1.0,471.0,184179.0,184179.47
0.0,459.0,184180.0,184180.45
7.0,583.0,184190.0,184190.58
6.0,570.0,184191.0,184191.56
5.0,694.0,184201.0,184201.69
4.0,685.0,184202.0,184202.69
3.0,807.0,184212.0,184212.81
2.0,748.0,184217.0,184217.75
1.0,926.0,184223.0,184223.92
0.0,914.0,184224.0,184224.9
7.0,38.0,184235.0,184235.03
6.0,25.0,184236.0,184236.03
5.0,150.0,184246.0,184246.16
4.0,142.0,184247.0,184247.14
3.0,263.0,184257.0,184257.27
